route_key,route_label,task,ui_task,ui_variety,variety_code,model_type,model_key,model_name,trained_on,validated_on,tested_on,seed,test_macro_f1,class1_f1,adapter_path,threshold,live_backend,artifact_status,serving_strategy
sarcasm_deberta_pooled,Sarcasm: DeBERTa pooled,sarcasm,Sarcasm detection,All varieties / pooled,pooled_all_varieties,DeBERTa,deberta-v3-base,DeBERTa-v3-base,pooled_all_varieties,pooled_all_varieties,pooled_all_varieties,123,0.7067351842891296,0.502269288956127,/scratch/NLP project/checkpoints/deberta_sarcasm_seed123,0.5,transformer_checkpoint,ready,Original pooled DeBERTa-v3-base route for sarcasm comparison.
sarcasm_qwen_pooled_en-AU,Sarcasm: Qwen pooled adapter,sarcasm,Sarcasm detection,Australian English (en-AU),en-AU,Qwen Q-LoRA,qwen2.5-3b-qlora,Qwen2.5-3B-Instruct + QLoRA,pooled_all_varieties,pooled_all_varieties,en-AU,123,0.7359705228444979,0.6053412462908012,/scratch/NLP project/checkpoints/qwen_adapters/qwen_pooled_seed123,0.5,qwen_adapter,ready,"One pooled Qwen LoRA adapter trained on all varieties, evaluated for the selected variety."
sarcasm_qwen_pooled_en-IN,Sarcasm: Qwen pooled adapter,sarcasm,Sarcasm detection,Indian English (en-IN),en-IN,Qwen Q-LoRA,qwen2.5-3b-qlora,Qwen2.5-3B-Instruct + QLoRA,pooled_all_varieties,pooled_all_varieties,en-IN,42,0.6322030372373622,0.3157894736842105,/scratch/NLP project/checkpoints/qwen_adapters/qwen_pooled_seed42,0.5,qwen_adapter,ready,"One pooled Qwen LoRA adapter trained on all varieties, evaluated for the selected variety."
sarcasm_qwen_pooled_en-UK,Sarcasm: Qwen pooled adapter,sarcasm,Sarcasm detection,British English (en-UK),en-UK,Qwen Q-LoRA,qwen2.5-3b-qlora,Qwen2.5-3B-Instruct + QLoRA,pooled_all_varieties,pooled_all_varieties,en-UK,123,0.7755201518766515,0.5901639344262295,/scratch/NLP project/checkpoints/qwen_adapters/qwen_pooled_seed123,0.5,qwen_adapter,ready,"One pooled Qwen LoRA adapter trained on all varieties, evaluated for the selected variety."
sarcasm_qwen_same_en-AU,Sarcasm: Qwen same-variety adapter,sarcasm,Sarcasm detection,Australian English (en-AU),en-AU,Qwen Q-LoRA,qwen2.5-3b-qlora,Qwen2.5-3B-Instruct + QLoRA,en-AU,en-AU,en-AU,42,0.7786315626797191,0.7042889390519187,/scratch/NLP project/checkpoints/qwen_adapters/qwen_en-AU_seed42,0.5,qwen_adapter,ready,Variety-specific LoRA adapter selected directly from the user variety.
sarcasm_qwen_same_en-IN,Sarcasm: Qwen same-variety adapter,sarcasm,Sarcasm detection,Indian English (en-IN),en-IN,LoRA Target/Rank Sweep,qwen2.5-3b-qlora_attention_mlp_rank16_bias_none,"Qwen2.5-3B-Instruct + QLoRA (attention_mlp, r=16)",en-IN,en-IN,en-IN,42,0.6456535956261281,0.3464566929133858,/scratch/NLP project/checkpoints/qwen_adapters/qwen_attention_mlp_rank16_bias_none_en-IN_seed42,0.5,qwen_adapter,ready,Variety-specific LoRA adapter selected directly from the user variety.
sarcasm_qwen_same_en-UK,Sarcasm: Qwen same-variety adapter,sarcasm,Sarcasm detection,British English (en-UK),en-UK,Qwen Q-LoRA,qwen2.5-3b-qlora,Qwen2.5-3B-Instruct + QLoRA,en-UK,en-UK,en-UK,42,0.6819938635299381,0.4144144144144144,/scratch/NLP project/checkpoints/qwen_adapters/qwen_en-UK_seed42,0.5,qwen_adapter,ready,Variety-specific LoRA adapter selected directly from the user variety.
sarcasm_encoder_pooled,Sarcasm: best encoder pooled,sarcasm,Sarcasm detection,All varieties / pooled,pooled_all_varieties,RoBERTa,roberta-large,RoBERTa-large,pooled_all_varieties,pooled_all_varieties,pooled_all_varieties,42,0.7310192248529255,0.5475504322766571,/scratch/NLP project/checkpoints/encoder_transformers/roberta_large_sarcasm_pooled_all_varieties_seed42,0.5,transformer_checkpoint,ready,"Best pooled encoder checkpoint among DeBERTa, RoBERTa candidates."
sarcasm_classical_fast,Sarcasm: classical fast fallback,sarcasm,Sarcasm detection,All varieties / pooled,pooled_all_varieties,Classical ML,tfidf_logreg,TF-IDF + LogReg,pooled_all_varieties,pooled_all_varieties,pooled_all_varieties,42,0.6263261140659862,0.4036281179138322,in_memory_refit::sarcasm::tfidf_logreg,0.5,classical_refit,ready_refit_on_startup,CPU fallback; useful for latency comparison and demos without GPU.
sentiment_deberta_pooled,Sentiment: DeBERTa pooled,sentiment,Sentiment analysis,All varieties / pooled,pooled_all_varieties,DeBERTa,deberta-v3-base,DeBERTa-v3-base,pooled_all_varieties,pooled_all_varieties,pooled_all_varieties,42,0.9001357281475164,0.8997240110395585,/scratch/NLP project/checkpoints/deberta_sentiment_seed42,0.5,transformer_checkpoint,ready,Original pooled DeBERTa-v3-base sentiment route kept for comparison.
