model_key,model_name,task,seed,trained_on,validated_on,tested_on,val_macro_f1,test_macro_f1,test_macro_precision,test_macro_recall,test_f1_Negative,test_f1_Positive,test_f1_Not Sarcastic,test_f1_Sarcastic,model_type,epochs_trained,is_same_variety,trainable_params_pct,adapter_path,threshold,notes,experiment_id
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-AU,en-AU,en-AU,0.7285714285714286,0.7248824940047962,0.7256597071190373,0.7697473894016205,,,0.7937649880095923,0.656,DeBERTa,3.0,True,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-AU_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-AU|en-AU|en-AU|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-AU,en-AU,en-IN,0.7285714285714286,0.4796625910783872,0.5636437686668476,0.7478383458646617,,,0.7213389121338912,0.2379862700228832,DeBERTa,3.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-AU_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-AU|en-AU|en-IN|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-AU,en-AU,en-UK,0.7285714285714286,0.5978217426059153,0.6095630290551362,0.849144090286081,,,0.8345323741007193,0.361111111111111,DeBERTa,3.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-AU_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-AU|en-AU|en-UK|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-IN,en-IN,en-AU,0.6599597585513078,0.5638302100155714,0.6811123735324351,0.5725226396291001,,,0.8319405756731661,0.2957198443579766,DeBERTa,5.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-IN_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-IN|en-IN|en-AU|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-IN,en-IN,en-IN,0.6599597585513078,0.6085089773614364,0.5895900974025974,0.6659774436090226,,,0.9193989071038252,0.2976190476190476,DeBERTa,5.0,True,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-IN_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-IN|en-IN|en-IN|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-IN,en-IN,en-UK,0.6599597585513078,0.7805573842440201,0.8039016115351993,0.7612201452276107,,,0.9692780337941628,0.5918367346938775,DeBERTa,5.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-IN_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-IN|en-IN|en-UK|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-UK,en-UK,en-AU,0.7963709677419355,0.5623359580052494,0.6884236453201971,0.5720947614714675,,,0.8333333333333334,0.2913385826771653,DeBERTa,6.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-UK_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-UK|en-UK|en-AU|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-UK,en-UK,en-IN,0.7963709677419355,0.62235863114158,0.6090418353576248,0.6423872180451128,,,0.939373750832778,0.3053435114503816,DeBERTa,6.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-UK_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-UK|en-UK|en-IN|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,42,en-UK,en-UK,en-UK,0.7963709677419355,0.6680832028628942,0.722305389221557,0.6385786357936485,,,0.9596958174904944,0.3764705882352941,DeBERTa,6.0,True,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-UK_seed42,,hf_id=microsoft/deberta-v3-base; cross_variety,deberta-v3-base_crossvariety|sarcasm|en-UK|en-UK|en-UK|42
deberta-v3-base_crossvariety,DeBERTa-v3-base,sarcasm,123,en-IN,en-IN,en-AU,0.4823008849557522,0.413884007029877,0.3530734632683658,0.5,,,0.8277680140597539,0.0,DeBERTa,3.0,False,100.0,/scratch/NLP project/checkpoints/deberta_cross_en-IN_seed123,,hf_id=microsoft/deberta-v3-base; cross_variety; training collapsed to majority class — see Q2.2 Path P narrative,deberta-v3-base_crossvariety|sarcasm|en-IN|en-IN|en-AU|123
